ReportIndex,Report Name,API URL,Frequency,Updation Time,Interval,Input,Input Description,Output,DataType,Output Description
,,,,,,,,co_add3,Float,Company Address 3
,,,,,,,,co_city,Float,Company City
,,,,,,,,co_stcode,Float,Company State Code
,,,,,,,,co_statename,Float,Company State Name
,,,,,,,,co_pin,Float,Company Pin Code
,,,,,,,,co_tel1,Float,Company Telephone 1
,,,,,,,,co_tel2,Float,Company Telephone 2
,,,,,,,,co_fax1,Float,Company Fax 1
,,,,,,,,co_fax2,Float,Company Fax 2
,,,,,,,,co_email,Float,Company Email
,,,,,,,,co_ctry_name,Float,Company Country Name
,,,,,,,,co_code3,Int,Company Code 3
,,,,,,,,rcode,varchar(50),Registrar Code
,,,,,,,,reg_name,varchar(100),Regsitrar Name 
,,,,,,,,reg_add1,varchar(100),Registrar Address 1
,,,,,,,,reg_add2,varchar(100),Registrar Address 2
,,,,,,,,reg_add3,varchar(100),Registrar Address 3
,,,,,,,,reg_add4,varchar(100),Registrar Address 4
,,,,,,,,reg_tel,varchar(100),Registrar Telephone
,,,,,,,,reg_fax,varchar(100),Registrar Fax
,,,,,,,,reg_email,varchar(100),Registrar Email                
,,,,,,,,reg_internet,varchar(100),Registrar Internet
,,,,,,,,flag,varchar(100),Flag
2,CompBackground,http://jwttoken.cmots.com/Aidea/api/CompBackground/476,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,lname,varchar(100),Company Long Name
,,,,,,,,isin,varchar(50),ISIN
,,,,,,,,hse_s_name,varchar(50),HSE_S_NAME
,,,,,,,,inc_dt,varchar(50),INC_DT
,,,,,,,,regadd1,varchar(100),Registrar Address 1
,,,,,,,,regadd2,varchar(50),Registrar Address 2
,,,,,,,,regdist,varchar(100),Registrar District
,,,,,,,,regstate,varchar(50),Registrar State
,,,,,,,,regpin,varchar(50),Registrar Pincode
,,,,,,,,tel1,varchar(50),Telephone
,,,,,,,,ind_l_name,varchar(100),Industry Last Name
,,,,,,,,tel2,varchar(100),Telephone 2
,,,,,,,,fax1,varchar(50),Fax 1
,,,,,,,,fax2,null,Fax 2
,,,,,,,,auditor,varchar(100),Auditor
,,,,,,,,fv,Int,Face Value
,,,,,,,,mkt_lot,Int,Market Lot
,,,,,,,,chairman,varchar(50),Chairman
,,,,,,,,co_sec,varchar(50),Company Sector
,,,,,,,,co_code,Int,CMOTS Company Code
,,,,,,,,email,varchar(50),Company Email
,,,,,,,,internet,varchar(50),Internet
,,,,,,,,dir_name,varchar(50),Director Name
,,,,,,,,dir_desg,varchar(50),Director Designation
,,,,,,,,co_code1,Int,Company Code 1
,,,,,,,,ho_add1,varchar(50),Head Office Address 1
,,,,,,,,ho_add2,varchar(50),Head Office Address 2
,,,,,,,,ho_add3,varchar(50),Head Office Address 3
,,,,,,,,ho_city,varchar(50),Head Office City
,,,,,,,,ho_stcode,varchar(50),Head Office State Code
,,,,,,,,ho_statename,varchar(50),Head Office State Name
,,,,,,,,ho_pin,Int,Head Office Pin code
,,,,,,,,ho_tel1,varchar(50),Head Office Telephone1
,,,,,,,,ho_tel2,Int,Head  Office Telephone2
,,,,,,,,ho_fax1,Int,Head Office Fax1
,,,,,,,,ho_fax2,Int,Head Office Fax2
,,,,,,,,ho_email,varchar(50),Head Office Email
,,,,,,,,ho_ctry_name,varchar(50),Head Office Country Name
,,,,,,,,co_code2,Float,Company Code 2
,,,,,,,,co_add1,Float,Company Address 1
,,,,,,,,co_add2,Float,Company Address 2
,,,,,,,,co_add3,Float,Company Address 3
,,,,,,,,co_city,Float,Company City
,,,,,,,,co_stcode,Float,Company State Code
,,,,,,,,co_statename,Float,Company State Name
,,,,,,,,co_pin,Float,Company Pin Code
,,,,,,,,co_tel1,Float,Company Telephone 1
,,,,,,,,co_tel2,Float,Company Telephone 2
,,,,,,,,co_fax1,Float,Company Fax 1
,,,,,,,,co_fax2,Float,Company Fax 2
,,,,,,,,co_email,Float,Company Email
,,,,,,,,co_ctry_name,Float,Company Country Name
,,,,,,,,co_code3,Int,Company Code 3
,,,,,,,,rcode,varchar(50),Registrar Code
,,,,,,,,reg_name,varchar(100),Regsitrar Name 
,,,,,,,,reg_add1,varchar(100),Registrar Address 1
,,,,,,,,reg_add2,varchar(100),Registrar Address 2
,,,,,,,,reg_add3,varchar(100),Registrar Address 3
,,,,,,,,reg_add4,varchar(100),Registrar Address 4
,,,,,,,,reg_tel,varchar(100),Registrar Telephone
,,,,,,,,reg_fax,varchar(100),Registrar Fax
,,,,,,,,reg_email,varchar(100),Registrar Email                
,,,,,,,,reg_internet,varchar(100),Registrar Internet
,,,,,,,,flag,varchar(100),Flag
3,Board Of Directors,http://jwttoken.cmots.com/Aidea/api/BoardOfDirectors/476,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,slno,Int,Serial Number for Same Multiple Records
,,,,,,,,dir_name,varchar(100),Director Name
,,,,,,,,dir_desg,varchar(100),Director Designation
,,,,,,,,year,Int,year
4,Director's Report,http://jwttoken.cmots.com/Aidea/api/DirectorsReports/6,EOD,11:30 PM,Once on trading day,Cocode,CMOTS Company code,co_code,Int,CMOTS Company Code 
,,,,,,,,lname,varchar(100),Company Long Name
,,,,,,,,directorrep,ntext,Director Report
,,,,,,,,yr ,Int,YEAR 
,,,,,,,,symbol,varchar(50),Symbol
5,Chairman's Report,http://jwttoken.cmots.com/Aidea/api/ChairmansReport/6,EOD,11:30 PM,Once on trading day,Cocode,CMOTS Company code,lname,varchar(100),Company Long Name
,,,,,,,,chairreport,ntext,Chairman's Report
,,,,,,,,yr ,Int,YEAR 
6,Bankers,http://jwttoken.cmots.com/Aidea/api/Bankers/6,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,lname,varchar(100),Company Long Name
,,,,,,,,bnk_name,varchar(50),Bank Name
7,Management (biodata),http://jwttoken.cmots.com/Aidea/api/Biodata/6,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,lname,varchar(100),Company Long Name
,,,,,,,,memo,ntext,memo
8,Auditor’s Report,http://jwttoken.cmots.com/Aidea/api/AuditorsReports/6,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,co_code,int,CMOTS Company Code 
,,,,,,,,lname,varchar(100),Company Long Name
,,,,,,,,symbol,varchar(100),symbol
,,,,,,,,memo,ntext,MEMO
,,,,,,,,yr,varchar(100),Year
9,Notes toAccount,http://jwttoken.cmots.com/Aidea/api/NotesToAccount/476/2024,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,lname,varchar(100),LNAME
,,http://jwttoken.cmots.com/Aidea/api/NotesToAccount/476/-,,,,year,Year,memo,ntext,MEMO
10,Finished Products,http://jwttoken.cmots.com/Aidea/api/FinishedProducts/6,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,co_code,int ,CMOTS Company Code
,,,,,,,,lname,Varchar (100),Company Long Name
,,,,,,,,yrc,int ,Year
,,,,,,,,prname,Varchar (100),Product Name
,,,,,,,,uom,Varchar (100),UOM
,,,,,,,,per_sale,float,Per Sale
,,,,,,,,inst,float,Inst
,,,,,,,,prodn,float,Prodn
,,,,,,,,saleqty,float,Sale Quantity
,,,,,,,,saleval,float,Sale Value
,,,,,,,,symbol,Varchar (100),symbol
11,Raw Material,http://jwttoken.cmots.com/Aidea/api/RawMaterials/6,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company code,co_code,Int,CMOTS Company Code
,,,,,,,,lname,Varchar (100),Company Long Name
,,,,,,,,yrc,int ,Year
,,,,,,,,prname,Varchar (100),Product Name
,,,,,,,,uom,Varchar (100),UOM
,,,,,,,,qty,float,Quantity
,,,,,,,,value,float,Value
,,,,,,,,year,int ,Year
,,,,,,,,symbol,Varchar (100),symbol
12,Related Party Transaction,http://jwttoken.cmots.com/Aidea/api/Related_Party_Transaction/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,co_code,Int,CMOTS Company Code
,,,,,,,,yrc,int,Year
,,,,,,,,slno,int,SLNO
,,,,,,,,nat_trans,varchar(50),NAT TRANS
,,,,,,,,assoc,float,ASSOC
,,,,,,,,subsi,float,SUBSI
,,,,,,,,kmp,float,KMP
,,,,,,,,rkmp,float,RKMP
,,,,,,,,jv,float,JV
,,,,,,,,ind,float,IND
,,,,,,,,oth,float,OTH
,,,,,,,,hc,float,HC
,,,,,,,,type,varchar(50),TYPE
,,,,,,,,subtype,varchar(50),SUBT YPE
,,,,,,,,total,float,TOTAL
,,,,,,,,class,varchar(50),CLASS
,,,,,,,,flag,varchar(20),FLAG
13,"Subsidiaries , JVs and Collaborations",http://jwttoken.cmots.com/Aidea/api/Subsidiaries_JVs_Collaborations/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code ,lname,varchar(50),LNAME
,,,,,,,,coll_name,varchar(50),COLL_NAME
,,,,,,,,coll_ctry,varchar(50),COLL_CTRY
,,,,,,,,coll_country,float,PERC_SH
,,,,,,,,PERC_SH,float,PERC_SH
14, Deferred Tax,http://jwttoken.cmots.com/Aidea/api/Deferred_Tax/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code ,co_code,varchar(50),CMOTS company code 
,,,,,,,,yrc,Int,Year
,,,,,,,,aseg1,varchar(50),ASEG1
,,,,,,,,aval1,float,AVAL1
,,,,,,,,aseg2,varchar(50),ASEG2
,,,,,,,,aval2,float,AVAL2
,,,,,,,,aseg3,varchar(50),ASEG3
,,,,,,,,aval3,float,AVAL3
,,,,,,,,aseg4,varchar(50),ASEG4
,,,,,,,,aval4,float,AVAL4
,,,,,,,,aseg5,varchar(50),ASEG5
,,,,,,,,aval5,float,AVAL5
,,,,,,,,aseg6,varchar(50),ASEG6
,,,,,,,,aval6,float,AVAL6
,,,,,,,,aseg7,varchar(50),ASEG7
,,,,,,,,aval7,float,AVAL7
,,,,,,,,aseg8,varchar(50),ASEG8
,,,,,,,,aval8,float,AVAL8
,,,,,,,,aseg9,varchar(50),ASEG9
,,,,,,,,aval9,float,AVAL9
,,,,,,,,aseg10,varchar(50),ASEG10
,,,,,,,,aval10,float,AVAL10
,,,,,,,,aseg11,varchar(50),ASEG11
,,,,,,,,aval11,float,AVAL11
,,,,,,,,aseg12,float,ASEG12
,,,,,,,,aval12,float,AVAL12
,,,,,,,,aseg13,int,ASEG13
,,,,,,,,aval13,varchar(50),AVAL13
,,,,,,,,aseg14,float,ASEG14
,,,,,,,,aval14,varchar(50),AVAL14
,,,,,,,,aseg15,float,ASEG15
,,,,,,,,aval15,varchar(50),AVAL15
,,,,,,,,aseg16,float,ASEG16
,,,,,,,,aval16,varchar(50),AVAL16
,,,,,,,,aseg17,float,ASEG17
,,,,,,,,aval17,varchar(50),AVAL17
,,,,,,,,aseg18,float,ASEG18
,,,,,,,,aval18,varchar(50),AVAL18
,,,,,,,,aseg19,float,ASEG19
,,,,,,,,aval19,varchar(50),AVAL19
,,,,,,,,aseg20,float,ASEG20
,,,,,,,,aval20,varchar(50),AVAL20
,,,,,,,,lseg1,float,LSEG1
,,,,,,,,lval1,varchar(50),LVAL1
,,,,,,,,lseg2,float,LSEG2
,,,,,,,,lval2,varchar(50),LVAL2
,,,,,,,,lseg3,float,LSEG3
,,,,,,,,lval3,varchar(50),LVAL3
,,,,,,,,lseg4,float,LSEG4
,,,,,,,,lval4,varchar(50),LVAL4
,,,,,,,,lseg5,float,LSEG5
,,,,,,,,lval5,varchar(50),LVAL5
,,,,,,,,lseg6,float,LSEG6
,,,,,,,,lval6,varchar(50),LVAL6
,,,,,,,,lseg7,float,LSEG7
,,,,,,,,lval7,varchar(50),LVAL7
,,,,,,,,lseg8,float,LSEG8
,,,,,,,,lval8,varchar(50),LVAL8
,,,,,,,,lseg9,float,LSEG9
,,,,,,,,lval9,varchar(50),LVAL9
,,,,,,,,lseg10,float,LSEG10
,,,,,,,,lval10,varchar(50),LVAL10
,,,,,,,,lseg11,float,LSEG11
,,,,,,,,lval11,varchar(50),LVAL11
,,,,,,,,lseg12,float,LSEG12
,,,,,,,,lval12,varchar(50),LVAL12
,,,,,,,,lseg13,float,LSEG13
,,,,,,,,lval13,varchar(50),LVAL13
,,,,,,,,lseg14,float,LSEG14
,,,,,,,,lval14,varchar(50),LVAL14
,,,,,,,,lseg15,float,LSEG15
,,,,,,,,lval15,varchar(50),LVAL15
,,,,,,,,lseg16,float,LSEG16
,,,,,,,,lval16,varchar(50),LVAL16
,,,,,,,,lseg17,float,LSEG17
,,,,,,,,lval17,varchar(50),LVAL17
,,,,,,,,lseg18,float,LSEG18
,,,,,,,,lval18,varchar(50),LVAL18
,,,,,,,,lseg19,float,LSEG19
,,,,,,,,lval19,varchar(50),LVAL19
,,,,,,,,lseg20,float,LSEG20
,,,,,,,,lval20,varchar(50),LVAL20
,,,,,,,,atotal,float,ATOTAL
,,,,,,,,ltotal,varchar(50),LTOTAL
,,,,,,,,year,float,YEAR
,,,,,,,,flag,Varchar(50),FLAG
15, R & D,http://jwttoken.cmots.com/Aidea/api/R_and_D/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code ,co_code,int ,CMOTS company code 
,,,,,,,,yrc,int ,Year Count
,,,,,,,,capital,float,Capital
,,,,,,,,recurring,float,Recurring
,,,,,,,,percentage,float,Percentage
,,,,,,,,year,float,Year
,,,,,,,,flag,varchar,Flag
16,Chronological History ,http://jwttoken.cmots.com/Aidea/api/ChronologicalHistory/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code ,lname,Varchar (100),Company Long Name
,,,,,,,,yrc,int ,year
,,,,,,,,eqtyason,varchar(50),Equity as on 
,,,,,,,,eqty,float,Equity 
,,,,,,,,remarks,varchar(500),Remark 
17,Company History,http://jwttoken.cmots.com/Aidea/api/CompanyHistory/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code ,lname,Varchar (100),Company Long Name
,,,,,,,,memo,ntext,company history description - Memo
18,Location ,http://jwttoken.cmots.com/Aidea/api/locations/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,co_code,int ,CMOTS company code 
,,,,,,,,type,varchar(50),TYPE
,,,,,,,,add1,varchar(50),ADD1
,,,,,,,,add2,varchar(50),ADD2
,,,,,,,,add3,varchar(50),ADD3
,,,,,,,,city,varchar(50),CITY
,,,,,,,,pin,varchar(50),PIN
,,,,,,,,tel1,varchar(50),TEL1
,,,,,,,,fax1,varchar(50),FAX1
,,,,,,,,st_name,varchar(50),ST_NAME
19,Credit Rating Info,http://jwttoken.cmots.com/Aidea/api/CreditRatingInfo/476,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,ratdate,datetime,RATDATE
,,,,,,,,sectype,varchar(50),SEC TYPE
,,,,,,,,amount,Int,AMOUNT
,,,,,,,,rating,varchar(50),RATING
,,,,,,,,ratingby,varchar(50),RATING BY
,,,,,,,,type,varchar(50),TYPE
,,,,,,,,note,varchar(50),NOTE
,,,,,,,,stoblig,varchar(50),STOBLIG
,,,,,,,,stattype,varchar(50),STAT TYPE
20, Employee Count,http://jwttoken.cmots.com/Aidea/api/EmployeeCount/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company code,yrc,int,YRC
,,,,,,,,totalempoyee_male,float,Total Empoyee Male
,,,,,,,,totalempoyee_female,float,Total Empoyee Female
,,,,,,,,totalempoyee,float,Total Empoyee
,,,,,,,,totalemployee_contractbasis,float,Total Employee Contract basis
,,,,,,,,permenantwomenemployee,float,Permenant Women Employee
,,,,,,,,permenantdisabledemployee,float,Permenant Disabled Employee
21,Corporate Governance,http://jwttoken.cmots.com/Aidea/api/CorporateGovernance/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company Code ,co_code,int,CMOTS company code 
,,,,,,,,date,datetime,Date
,,,,,,,,corpgov_report,ntext,Corp Gov Report
22,Capital structure,http://jwttoken.cmots.com/Aidea/api/capital-structure/1375,EOD,11:30 PM,Once on trading day,co_code,CMOTS Company Code ,co_code,int,co_code
,,,,,,,,YRC,int,YRC
,,,,,,,,EquityAuthorised,int,EquityAuthorised
,,,,,,,,EquityIssued,float,EquityIssued
,,,,,,,,EquitySubs,float,EquitySubs
,,,,,,,,FaceValue,int,FaceValue
,,,,,,,,EquitySharesPaidUp,int,EquitySharesPaidUp
,,,,,,,,EquityPaidUp,float,EquityPaidUp
23,Pledge Shares Details ,http://jwttoken.cmots.com/Aidea/api/Pledgesharesdetails/6,EOD,11:30 PM,Once on trading day,cocode ,CMOTS Company Code ,co_code,int,CMOTS Company Code 
,,,,,,,,date,datetime,date
,,,,,,,,type,varchar(50),Type
,,,,,,,,name,varchar(50),name
,,,,,,,,totalpledgeshares,float,Total Pledge Shares
,,,,,,,,perc_totalsharesheld,float,TotalShares Held(%)
24,CRAR,http://jwttoken.cmots.com/Aidea/api/CRAR/4987,EOD,11:30 PM,Once on trading day,co_code,CMOTS Company Code ,co_code,int,CMOTS Company Code 
,,,,,,top,top,yrc,int,Year
,,,,,,,,grossnonperformingassets,float,Gross Non Performing Assets
,,,,,,,,netnonperformingassets,float,Net Non Performing Assets
,,,,,,,,capitaladequacyratio_baseliii,float,Capital Adequacy Ratio BaselIII
,,,,,,,,tiericapital,float,TierI Capital
,,,,,,,,tieriicapital,float,TierII Capital
25,Bulk Deals,http://jwttoken.cmots.com/Aidea/api/Bulk-Deals/nse/01-May-2024/04-Feb-2025,EOD,11:30 PM,Once on trading day,Exchange,Exchange-BSE/NSE,date,datetime,Date
,,,,,,fromdate(dd-MMM-yyyy),From Date,co_code,int,CMOTS Company Code 
,,,,,,todate(dd-MMM-yyyy),To Date,scripcode,varchar(50),scripcode
,,,,,,,,serial,int,Serial
,,,,,,,,scripname,varchar(100),ScripName
,,,,,,,,clientname,varchar(100),ClientName
,,,,,,,,buysell,varchar(20),buysell
,,,,,,,,qtyshares,float,QTY SHARES
,,,,,,,,avg_price,float,AVG PRICE
26,Block Deals,http://jwttoken.cmots.com/Aidea/api/Block-Deals/nse/01-May-2024/04-Feb-2025,EOD,11:30 PM,Once on trading day,Exchange,Exchange-BSE/NSE,date,datetime,Date
,,,,,,fromdate(dd-MMM-yyyy),From Date,co_code,int,CMOTS Company Code 
,,,,,,todate(dd-MMM-yyyy),To Date,scripcode,varchar(50),scripcode
,,,,,,,,serial,int,Serial
,,,,,,,,scripname,varchar(100),ScripName
,,,,,,,,clientname,varchar(100),ClientName
,,,,,,,,buysell,varchar(20),buysell
,,,,,,,,qtyshares,float,QTY SHARES
,,,,,,,,avg_price,float,AVG PRICE
27,Insider Trading,http://jwttoken.cmots.com/Aidea/api/InsiderTrading/476,EOD,11:30 PM,Once on trading day,co_code,CMOTS Company code,co_code,Int,CMOTS Company Code
,,,,,,,,companyname,Varchar(100),Company Name
,,,,,,,,personname,Varchar(100),PERSON NAME
,,,,,,,,category,Varchar(100),CATEGORY
,,,,,,,,typeofsecuritiesheldprior,Varchar(100),Type of Securities held Prior
,,,,,,,,numberofsecuritiesheldprior,Int,Number of Securities held Prior
,,,,,,,,percentage_securitiesheldprior,Float,Percentage Securitie sheld Prior
,,,,,,,,valueofsecurities,Int,Value of Securities
,,,,,,,,totalsecurities,Int,Total Securities
,,,,,,,,transactiontype,Varchar(100),Transaction Type
,,,,,,,,typeofsecuritiesheldpost,varchar(50),Type of Securities held Post
,,,,,,,,numberofsecuritiesheldpost,Int,Number of Securities held Post
,,,,,,,,percentage_securitiesheldpost,Float,Securities held Post(%)
,,,,,,,,fromdateofacquisition,Datetime,FromDate of Acquisition
,,,,,,,,todateofacquisition,Datetime,ToDate of Acquisition
,,,,,,,,modeofacquisition,Varchar(100),Mode of Acquisition
,,,,,,,,ExchangeReportedDate,Datetime,ExchangeReportedDate
28,Substantial Acquisition of Shares and Takeovers Data,http://jwttoken.cmots.com/Aidea/api/SubstantialAcquisition/476,EOD,11:30 PM,Once on trading day,cocode,CMOTS Company Code,co_code,Int,CMOTS Company Code
,,,,,,,,SecurityName,varchar(100),Security Name
,,,,,,,,NameofAcquirer_Seller,varchar(100),Name of Acquirer Seller
,,,,,,,,Promoter_PromoterGroup,varchar(100),Promoter Promoter Group
,,,,,,,,TransactionPeriod,Datetime,Transaction Period
,,,,,,,,Acq_Sale,varchar(100),Acquired Sale
,,,,,,,,ModeofBuy_Sale,varchar(100),Mode of Buy Sale
,,,,,,,,TransactedQuantity,Int,Transacted Quantity
,,,,,,,,TransactedQuantity_PerChange,Float,Transacted Quantity Per Change
,,,,,,,,HoldingAfterTransactionQuantity,Int,Holding After Transaction Quantity
,,,,,,,,HoldingAfterTransaction_PerChange_TotalCapital,Float,Holding After Transaction Percentage Change Total Capital
,,,,,,,,HoldingAfterTransaction_PerChange_DilutedCapital,Float,Holding After Transaction Pecentage Change Diluted Capital
,,,,,,,,ExchangeReportedDate,Datetime,Exchange Reported Date

1,Quarterly Results ,http://jwttoken.cmots.com/Aidea/api/QuarterlyResults/476/S,EOD,11:30 PM,Once on trading day,CO_CODE,CMOTS Company Code,COLUMNNAME,Varchar(300),Column Name
,,http://jwttoken.cmots.com/Aidea/api/QuarterlyResults/476/C,,,,TYPE(S/C),Standalone/Consolidated,RID,Int,RID
,,,,,,,,Y202412,Float,Year 2024 December
,,,,,,,,Y202409,Float,Year 2024 September
,,,,,,,,Y202406,Float,Year 2024 June
,,,,,,,,Y202403,Float,Year 2024 March
,,,,,,,,Y202312,Float,Year 2023 December
,,,,,,,,Y202309,Float,Year 2023 September
